EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,,,UMOL/KG,,UMOL/KG,
 49NZ20031209,     I04,605,1,28,12016,2,20031213,1833,-24.6723,35.994,1623,500.6,11.025,34.9541,2,-999,3,197.33,1,200.16,2,8.65,2,15.51,2,0,2,1.13,2,2.704,2,1.355,2,-999,9,2135.2,2,2303.8,2
 49NZ20031209,     I04,605,1,18,12042,2,20031213,1833,-24.6723,35.994,1623,601.3,9.7778,34.7908,2,34.7905,2,203.49,1,211.07,2,8.73,2,17.46,2,0,2,1.25,2,2.706,2,1.315,2,-999,9,2136.1,2,2294.3,2
 49NZ20031209,     I04,605,1,17,12041,2,20031213,1833,-24.6723,35.994,1623,701.4,8.041,34.6136,2,34.614,2,190.75,1,198.09,2,16.43,2,22.81,2,0,2,1.6,2,1.979,2,0.955,2,-999,9,2159.1,6,2291.4,2
 49NZ20031209,     I04,605,1,16,12040,2,20031213,1833,-24.6723,35.994,1623,800.9,7.2372,34.6114,2,-999,3,162.89,1,166.87,2,29.87,2,27.41,2,0,2,1.92,2,1.183,2,0.573,2,-999,9,2192.1,2,2302.2,6
 49NZ20031209,     I04,605,1,15,12039,2,20031213,1833,-24.6723,35.994,1623,900.5,6.1725,34.5647,2,34.5675,2,158.59,1,163.31,2,37.78,2,29.82,2,0,2,2.09,2,1.009,2,0.482,2,-999,9,2209,2,2304.9,2
 49NZ20031209,     I04,605,1,14,12038,2,20031213,1833,-24.6723,35.994,1623,1000.3,5.4065,34.609,2,34.6107,2,139.77,1,143.59,2,53.5,2,32.62,2,0,2,2.32,2,0.533,6,0.26,6,-999,9,2237.7,2,2323.6,2
 49NZ20031209,     I04,605,1,13,12037,2,20031213,1833,-24.6723,35.994,1623,1201.1,4.2753,34.639,2,34.6389,2,138.25,1,142.23,2,68.54,2,33.93,2,0,2,2.42,2,0.251,2,0.131,2,-999,9,2257.4,2,2340,2
 49NZ20031209,     I04,605,1,12,12036,2,20031213,1833,-24.6723,35.994,1623,1400.9,3.356,34.6771,2,34.6769,2,151.96,1,156.14,2,76.21,2,33.32,2,0,2,2.34,2,0.128,2,0.067,2,-999,9,2259.5,2,2345.4,2
 49NZ20031209,     I04,605,1,24,12048,2,20031213,1833,-24.6723,35.994,1623,1401.1,3.3554,34.6771,2,34.6775,2,151.94,1,156.26,2,76.16,2,33.2,2,0,2,2.34,2,0.135,2,0.062,2,-999,9,2261.9,2,2345.4,2
 49NZ20031209,     I04,605,1,11,12035,2,20031213,1833,-24.6723,35.994,1623,1623.8,2.9973,34.7144,2,34.7143,2,162.24,1,166.52,2,77.9,2,32.34,2,0,2,2.26,2,0.079,2,0.043,2,-999,9,2257,2,2354.5,2
 49NZ20031209,     I04,604,1,36,12024,2,20031213,2128,-24.667,36.2403,2143,9.5,28.2509,35.2872,2,35.2901,2,189.54,1,199.35,2,1.8,2,0.02,2,0,2,0.13,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,35,12023,2,20031213,2128,-24.667,36.2403,2143,49.5,24.4544,35.1891,2,35.1805,2,201.05,1,211.17,2,2.4,2,0,2,0,2,0.18,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,34,12022,2,20031213,2128,-24.667,36.2403,2143,99.6,20.6426,35.2454,2,35.2475,2,138.88,1,145.72,2,7.83,2,9.07,2,0.07,2,0.72,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,33,12015,2,20031213,2128,-24.667,36.2403,2143,149.5,18.7723,35.5514,2,35.5512,2,165.43,1,173.39,2,6.19,2,6.32,2,0.02,2,0.54,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,32,12020,2,20031213,2128,-24.667,36.2403,2143,199.6,17.2621,35.6473,2,35.653,2,194.8,1,206.14,2,4.06,2,3.94,2,0.01,2,0.4,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,31,12019,2,20031213,2128,-24.667,36.2403,2143,250,16.3191,35.5903,2,35.5919,2,192.92,1,202.05,2,4.35,2,5.53,2,0.01,2,0.5,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,30,12018,2,20031213,2128,-24.667,36.2403,2143,299.1,14.9159,35.462,2,35.462,2,194.32,1,202.93,2,4.88,2,7.39,2,0.01,2,0.63,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,29,12017,2,20031213,2128,-24.667,36.2403,2143,400.4,13.3762,35.2943,2,35.2907,2,208.72,1,217.24,2,4.59,2,9.14,2,0,2,0.73,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,28,12016,2,20031213,2128,-24.667,36.2403,2143,499.9,11.8696,35.071,2,35.0664,2,206.04,1,213.85,2,6.01,2,12.58,2,0,2,0.94,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,27,12012,2,20031213,2128,-24.667,36.2403,2143,600.3,10.2158,34.8454,2,34.8456,2,201.16,1,210,2,8.52,2,16.57,2,-0.01,2,1.19,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,18,12042,2,20031213,2128,-24.667,36.2403,2143,701.4,9.0071,34.7247,2,34.7251,2,180.74,1,187.39,2,16.16,2,21.67,2,-0.01,2,1.52,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,17,12041,2,20031213,2128,-24.667,36.2403,2143,799.7,7.7339,34.6623,2,34.6622,2,155.68,1,161.45,2,29.14,2,26.72,2,-0.01,2,1.89,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,16,12040,2,20031213,2128,-24.667,36.2403,2143,900.5,6.9763,34.6743,2,34.6743,2,134.81,1,139.78,2,41.64,2,30.08,2,0,2,2.14,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,15,12039,2,20031213,2128,-24.667,36.2403,2143,1000.5,5.9725,34.6403,2,34.6412,2,134.45,1,138.6,2,50.58,2,32.03,2,-0.01,2,2.28,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,604,1,14,12038,2,20031213,2128,-24.667,36.2403,2143,1199.9,4.2274,34.5919,2,34.5916,2,146.53,1,151.76,2,63.59,2,33.51,2,-0.01,2,2.37,2,-999,9,-999,9,-999,9,-999,9,-999,9
