BOTTLE,20191223JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20190725SIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEGC,PMOL/KG,,PMOL/KG,,FMOL/KG,
3.2502E+11, I06S,4,1,28,28,2,20190416,1719,-68.3074,31.2087,1811,40.1,-1.1866,34.0361,2,34.0422,2,338.7,2,345.1,2,57.2,2,28.2,2,0.17,2,1.89,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,4,1,27,27,2,20190416,1719,-68.3074,31.2087,1811,65.5,-1.1956,34.0444,2,34.049,2,338.4,2,344.7,2,56.7,2,28.11,2,0.17,2,1.89,2,2192.2,2,2306.9,2,7.6492,2,25.04,6.006,2,3.154,2,4.1314,2
3.2502E+11, I06S,4,1,26,26,2,20190416,1719,-68.3074,31.2087,1811,90.5,-1.1691,34.054,2,34.0672,2,337.7,2,342.6,2,57,2,28.25,2,0.16,2,1.9,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,4,1,25,25,2,20190416,1719,-68.3074,31.2087,1811,115.8,-1.2379,34.1566,2,34.1811,2,320.3,3,315.1,2,61.6,2,29.65,2,0.12,2,2.01,2,2210.2,2,2312.39,2,7.6173,2,25.02,5.107,2,2.709,2,3.4213,2
3.2502E+11, I06S,4,1,24,24,2,20190416,1719,-68.3074,31.2087,1811,140.9,-1.4761,34.3102,2,34.3165,2,293.8,2,295.7,2,65.5,2,30.54,2,0.08,2,2.08,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,4,1,23,23,2,20190416,1719,-68.3074,31.2087,1811,166.3,-1.2145,34.3817,2,34.3872,2,284.6,2,284.5,2,68.7,2,31.05,2,0.06,2,2.11,2,2231.9,2,2326.01,2,7.5917,2,25.03,4.175,2,2.215,2,2.868,2
3.2502E+11, I06S,4,1,22,22,2,20190416,1719,-68.3074,31.2087,1811,191.3,-1.0195,34.4108,2,34.4183,2,279.3,2,276.5,2,70.7,2,31.19,2,0.04,2,2.11,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,4,1,21,21,2,20190416,1719,-68.3074,31.2087,1811,216.8,-0.689,34.4552,2,34.4595,2,267.9,2,264.9,2,73.8,2,31.42,2,0.01,2,2.14,2,2238.8,2,2331.77,2,7.585,2,25.01,3.516,2,1.851,2,2.13,2
3.2502E+11, I06S,4,1,20,20,2,20190416,1719,-68.3074,31.2087,1811,242.2,-0.545,34.4735,2,34.4785,2,256.7,2,258.7,2,75.2,2,31.5,2,0.01,2,2.12,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,4,1,19,19,2,20190416,1719,-68.3074,31.2087,1811,287.8,0.2129,34.5686,2,34.5748,2,230.5,2,230.8,2,83,2,31.85,2,0,2,2.16,2,2245.8,2,2337.19,2,7.5785,2,25.03,2.269,2,1.198,2,1.2412,2
3.2502E+11, I06S,4,1,18,18,2,20190416,1719,-68.3074,31.2087,1811,338.2,0.6197,34.6242,2,34.6289,2,220.4,2,220.1,2,87.8,2,31.93,2,0,2,2.17,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,4,1,17,17,2,20190416,1719,-68.3074,31.2087,1811,389,0.4253,34.6143,2,34.6185,2,217.7,2,223.9,2,87.2,2,31.75,2,0,2,2.16,2,2250.2,3,2341.3,2,7.5812,2,25.03,1.862,2,0.988,2,0.9805,2
3.2502E+11, I06S,4,1,16,16,2,20190416,1719,-68.3074,31.2087,1811,439.5,0.508,34.6368,2,34.6403,2,219.1,2,220.4,2,90.9,2,31.77,2,0,2,2.16,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,4,1,15,15,2,20190416,1719,-68.3074,31.2087,1811,490.2,0.5279,34.6482,2,34.6519,2,219,2,218.7,2,93.7,2,31.66,2,0,2,2.16,2,2252.2,2,2346.58,2,7.586,2,25.01,1.432,2,0.77,2,0.7606,2
3.2502E+11, I06S,4,1,14,14,2,20190416,1719,-68.3074,31.2087,1811,571.3,0.5171,34.6532,2,34.657,2,218.3,2,218.5,2,95.6,2,31.63,2,0,2,2.16,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,4,1,13,13,2,20190416,1719,-68.3074,31.2087,1811,672.4,0.523,34.6611,2,34.6646,2,217.4,2,216.9,2,98.9,2,31.78,2,0,2,2.17,2,2255.8,2,2348.26,2,7.588,2,25.01,1.221,2,0.66,2,0.6301,2
3.2502E+11, I06S,4,1,12,12,2,20190416,1719,-68.3074,31.2087,1811,773.8,0.5237,34.6682,2,34.6748,3,216.5,2,215.3,2,102.3,2,31.9,2,0,2,2.18,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
